label	question	lang
ENTY:color	What is Batesian mimicry?	en
ENTY:lang	How many people speak German?	en
LOC:state	What is the capital of Kentucky?	en
ENTY:veh	What is a rental car?	en
ENTY:word	What is the plural of gulf	en
LOC:mount	How high is Mount McKinley?	en
ABBR:abb	What is meant by WiFi?	en
LOC:water	What connects to the Caribbean Sea?	en
ENTY:color	How are colors represented in light?	en
NUM:period	What is the average lifespan of a goldfish?	en
LOC:landmass	Where is Greenland?	en
ENTY:cremat	What is a caisson?	en
ENTY:food	Where does cake come from?	en
DESC:def	How is a sentence structured?	en
HUM:ind	What was Michelangelos last name	en
LOC:country	Tell me about Argentina	en
LOC:water	What is a canal?	en
ENTY:body	What is the function of the epidermis?	en
ENTY:food	Where does pie come from?	en
HUM:ind	Who is the father of the computer	en
LOC:city	Where is New York?	en
ENTY:symbol	What is the at sign symbol?	en
HUM:gr	What is a peasants?	en
ENTY:product	What is a bed made of?	en
ENTY:color	How do paint colors compare?	en
ABBR:exp	NATO expands to North Atlantic Treaty Organization?	en
ENTY:religion	What is Zoroastrianism?	en
LOC:water	What are Britains two longest rivers	en
ABBR:abb	What is the meaning of API?	en
LOC:mount	Where are the Andes Mountains?	en
ABBR:abb	What is the correct way to abbreviate cc. at the bottom of a business letter	en
ENTY:word	What does momentary mean?	en
DESC:reason	What causes bad breath?	en
HUM:desc	What does a dancer do?	en
ENTY:veh	How many safety features does a modern car have?	en
NUM:other	What is the temperature of the sun?	en
ENTY:cremat	What is the purpose of cemetery?	en
NUM:code	What is the ASCII code for space character?	en
DESC:desc	How are landscapes depicted in art?	en
ENTY:other	What cards are bullets	en
NUM:dist	How far is New York from Tokyo?	en
ENTY:dismed	What is a fear of fur	en
ENTY:substance	How is carbon essential?	en
NUM:ord	What is the chronological position of Barack Obama as the President of United States	en
ABBR:abb	What does IR stand for?	en
ENTY:other	At Christmas time, what is the traditional thing to do under the mistletoe	en
ABBR:abb	What does WAN extend?	en
HUM:ind	What is an engineer?	en
ENTY:symbol	What is the chemical symbol for helium?	en
ENTY:instru	What instrument measures blood pressure?	en
ENTY:body	What is the weakest bone in the body	en
NUM:perc	What percentage of the worlds wealth is held by the top 1 percent?	en
ABBR:abb	What is the shorthand for Gigabyte?	en
LOC:city	What is Cairo?	en
ENTY:food	Where does wine come from?	en
NUM:money	What is the cost of living?	en
ENTY:event	What happened during the Oscars?	en
DESC:manner	In what manner do settlers establish?	en
DESC:manner	How do they get Teflon to stick to the pan	en
LOC:mount	How high is Mount Fuji?	en
NUM:temp	What is the melting point of uranium?	en
DESC:reason	What causes leaves to turn green?	en
NUM:temp	At what temperature does asphalt soften?	en
ENTY:animal	What kinds of animals are in Cambodia	en
HUM:title	What rank is Admiral?	en
HUM:gr	How is a consortium organized?	en
HUM:desc	What is a engineer?	en
HUM:title	Who holds the title of Provost?	en
LOC:mount	What mountain range is traversed by the highest railroad in the world	en
LOC:country	Tell me about Egypt	en
NUM:dist	How far is Tokyo and Beijing?	en
DESC:def	How does holonym function?	en
NUM:weight	How much does an unknown item weigh?	en
ENTY:religion	name all the religions practiced around the Mediterranean sea	en
NUM:other	How many countries?	en
ENTY:color	How is blue different from purple?	en
ENTY:color	What color is a bluebell?	en
NUM:temp	How hot should the oven be when baking Peachy Oat Muffins	en
ENTY:food	How is kimchi made?	en
ENTY:word	What is a homophone?	en
HUM:gr	What defines a council?	en
LOC:other	Where is Tufts University	en
LOC:other	Where can I find the names of all the 15 Pokemon	en
DESC:reason	Why do muscles ache?	en
NUM:other	How tall is the Eiffel Tower?	en
NUM:ord	Which is your precise position in the order of seniority	en
DESC:manner	How do you learn a language?	en
LOC:city	Tell me what city the Kentucky Horse Park is near	en
ABBR:exp	What is IOC an abbreviation of	en
NUM:count	How many muscles does an oyster have	en
NUM:period	What is the average time it takes for a male to ejaculate	en
DESC:reason	What causes peace?	en
NUM:volsize	What is the volume of the Great Lakes?	en
NUM:dist	How far can you see	en
ABBR:abb	TLS abbreviates what?	en
NUM:code	What is the octal code for delete?	en
ENTY:color	How does analogous design work?	en
DESC:manner	How do musicians play?	en
ENTY:food	Where does hot dog come from?	en
ABBR:abb	Explain the acronym HDMI	en
ENTY:color	How is khaki made?	en
NUM:temp	At what temperature does ice melt?	en
ENTY:word	What does abstruse mean?	en
DESC:reason	What causes droughts?	en
NUM:ord	What is the thirteenth planet?	en
ABBR:exp	What does the abbreviation IOC stand for	en
LOC:mount	Where is mountain Y located?	en
ENTY:religion	What religion is Bahai?	en
DESC:reason	Why do wetlands persist?	en
LOC:state	What is a prefecture?	en
ENTY:cremat	Name a film that has won the Golden Bear in the Berlin Film Festival	en
ENTY:plant	What does a lily look like?	en
ENTY:body	What are arteries?	en
DESC:reason	What causes betrayal?	en
LOC:country	What two countries fought the Hundred Years War	en
NUM:perc	What percentage of birds migrate?	en
NUM:dist	How far is New York from Mumbai?	en
ENTY:instru	What is a measuring cup used for?	en
ENTY:food	How is vanilla grown?	en
HUM:gr	What is a society ruled by elders	en
DESC:reason	Why didn t European colonial rule spread until after the first and second industrial revolutions	en
ENTY:veh	What is the roll-over stability threshold for SUVs?	en
DESC:desc	How are similarities described comparatively?	en
NUM:temp	What is the temperature for cooking	en
DESC:reason	Why do moods fluctuate?	en
HUM:gr	What company has built more than 2.5 billion little green houses since 1935	en
DESC:reason	In the song Yankee Doodle, why did Yankee Doodle stick a feather in his cap and call it macaroni	en
LOC:water	How salty is the Dead Sea?	en
DESC:def	What do we mean by bandwidth?	en
ENTY:dismed	How does measles spread?	en
ENTY:symbol	What is the chemical formula for LSD	en
DESC:reason	What causes numbness?	en
ENTY:substance	What is copper?	en
ENTY:substance	What gasses are in the troposphere	en
ABBR:abb	What is the meaning of LASER?	en
ENTY:lang	What language is spoken in Greece?	en
HUM:gr	What NFL team did Vince Lombardi end his coaching career with	en
ENTY:sport	How is high jump played?	en
ENTY:product	What was the most popular toy in 1957	en
NUM:ord	What is the ninth letter of the alphabet?	en
ENTY:instru	What device measures atmospheric pressure?	en
ENTY:religion	What religion is Neopaganism?	en
NUM:perc	What percentage of the worlds electricity comes from renewables?	en
NUM:money	What is the cost of the drugs used in tuberculosis treatments	en
NUM:perc	What percentage of Americans report having a fear of flying?	en
ENTY:color	What is the wavelength of violet light?	en
DESC:desc	What is the difference between ninjitsu and kung fu	en
LOC:country	What country was Mikhail Gorbachev the leader of	en
ENTY:product	Name the disposable razor that costs about 19 cents	en
ENTY:other	What are some unusual cloud formations?	en
DESC:desc	What conveys metamorphosis?	en
ENTY:veh	What is the thickness of car window glass?	en
DESC:manner	What is the way to bake a cake?	en
ENTY:food	What are modern grains?	en
DESC:manner	How successful is arometherapy	en
NUM:speed	How fast is a plane?	en
NUM:date	What year was DNA discovered?	en
ABBR:exp	What does TUN expand to?	en
LOC:country	In what country is a stuck-out tongue a friendly greeting	en
ABBR:abb	What is meant by GPU?	en
ENTY:dismed	What is omeprazole?	en
NUM:weight	What is the weight of the Earth in kilograms?	en
LOC:state	How are jurisdictions established?	en
NUM:volsize	How large is the Caspian Sea?	en
ENTY:animal	How do animals play dead?	en
ENTY:cremat	What is the name of the song that Dracula plays on the organ	en
ENTY:symbol	list 5 signs from the chinese zodiac	en
HUM:gr	What Japanese manufacturer is known for both its pianos and its motorcycles	en
ENTY:food	What is blueberry made from?	en
ENTY:lang	What is Finnish known for?	en
NUM:perc	What percentage of the worlds gold has been mined?	en
ABBR:abb	What does NATO mean?	en
DESC:desc	What are the lyrics to the Star Spangled Banner	en
ENTY:termeq	What then-derogatory term was applied to the painters Monet, Sisley, Pissarro, Renoir and Degas	en
NUM:count	How many Americans fought for the British in the American Revolution	en
NUM:temp	What is the temperature of a typical refrigerator?	en
ENTY:body	What is the heart?	en
DESC:manner	How did serfdom develop in and then leave Russia	en
ENTY:plant	What is the state flower of Michigan	en
LOC:other	Where is Mozambique located	en
NUM:period	How long does cocaine stay in your system	en
NUM:other	What is the surface area of human skin?	en
ENTY:religion	Which religion has the most countries?	en
ENTY:termeq	Is house the same as dwelling?	en
DESC:desc	What captures unattractiveness?	en
ENTY:substance	What is ammonia?	en
NUM:volsize	What is the volume of an Olympic pool?	en
HUM:title	What is Nicholas Cages profession	en
NUM:ord	Where were you in the queue	en
NUM:perc	What percent of the population has blue eyes?	en
HUM:gr	Who are the alumni?	en
NUM:ord	What is the ordinal number for 5?	en
ENTY:veh	How does a train run?	en
NUM:other	How many stars are in the Milky Way?	en
HUM:gr	Who are the faculty?	en
ENTY:plant	What is a carrot?	en
NUM:period	What is the recomended age to switch a child from a crib to a bed	en
ABBR:abb	What is the abbreviation for Remote Sensing?	en
ENTY:word	What is a word whose letters can be rearranged to form a different word	en
NUM:speed	What is the escape velocity needed to leave Earths gravity?	en
ENTY:dismed	How is diabetes treated?	en
ENTY:termeq	What term does a Czech use to describe a Pole	en
DESC:manner	How do watchmakers assemble?	en
LOC:water	What is the Caribbean Sea?	en
ENTY:letter	Whats the second-most-used vowel in English	en
ENTY:food	How are ducks?	en
ENTY:sport	How is hockey played?	en
ENTY:substance	What is aluminum used for?	en
HUM:desc	Who was Ezra Taft Benson	en
DESC:desc	How are emotions described affectively?	en
ENTY:cremat	How are remains disposed of traditionally?	en
LOC:water	What is the Great Salt Lake?	en
ENTY:termeq	What are dinosaur droppings called	en
LOC:country	What country comes last in an alphabetical list	en
ABBR:exp	CPR is the abbreviation for what	en
HUM:gr	How is a alliance organized?	en
DESC:def	What is sonar	en
NUM:perc	What percentage of mammals are bats?	en
DESC:manner	How do therapists counsel?	en
DESC:manner	In what manner do illustrators draw?	en
DESC:def	How does context shape meaning?	en
ENTY:word	What does esoteric mean?	en
NUM:period	How long was the longest hiccup attack	en
LOC:city	What is the name of the largest city in Chile, South America	en
ABBR:abb	What does UNICEF stand for?	en
NUM:code	How does hexadecimal work?	en
ENTY:letter	How many scripts are in English?	en
ENTY:color	What is black?	en
NUM:other	What are the statistics for drunken drivers in Maryland	en
LOC:city	Tell me about Houston	en
ABBR:abb	What does EMI cause?	en
NUM:perc	What ratio of children of ages between two and eleven watch The Simpsons	en
ENTY:food	How is buckwheat grown?	en
LOC:mount	What is the Alps?	en
DESC:desc	What captures sadness?	en
NUM:ord	Where did Harvard fall on the U.S. News & World Report list this year	en
ENTY:veh	How does a space shuttle work?	en
ABBR:exp	What does NLD expand to?	en
DESC:desc	How are nature scenes described?	en
ENTY:termeq	What is the meaning of beautiful?	en
NUM:perc	What percentage of people are left-handed?	en
ENTY:color	What is a common olive item?	en
NUM:weight	what is the mass of the moon	en
HUM:desc	Describe a typical dentist	en
ABBR:abb	In computing, URL refers to what?	en
NUM:period	What is the typical duration of a commercial flight?	en
ENTY:religion	How many Seventh-day Adventists are there?	en
DESC:manner	How do plants grow?	en
DESC:desc	What is a narrative description?	en
DESC:reason	Why do traditions continue?	en
ENTY:animal	what is the biggest predator in the animal kingdom	en
DESC:manner	How do ants have sex	en
ENTY:letter	What is the pronunciation of the letter D in English?	en
ABBR:exp	What does IMF expand to?	en
ENTY:body	What is the function of the artery?	en
ABBR:exp	YMCA expands to Young Mens Christian Association?	en
DESC:def	What are liver enzymes	en
HUM:gr	What stereo manufacturer is Slightly ahead of its time	en
NUM:weight	How much does a large watermelon weigh?	en
ENTY:food	What is Carrot?	en
HUM:title	Who directed Forrest Gump?	en
NUM:count	How many chairs are shown in Vincent Van Goghs 188 work The Artists Room in Arles	en
NUM:count	What is the number of states of France?	en
NUM:ord	Who came in twelfth place?	en
ENTY:techmeth	How does convolutional neural networks work?	en
NUM:perc	What percentage of the human body is blood?	en
DESC:def	What is cryptography	en
ENTY:lang	What is the language spoken in Vietnam?	en
LOC:water	What lake is Sheboygan on	en
ENTY:product	What is Adidas?	en
ENTY:techmeth	What is CRISPR gene editing?	en
ABBR:exp	DHCP means what in full form?	en
DESC:reason	Why does we have hiccups?	en
DESC:def	How do sound changes occur?	en
NUM:perc	What percentage of the blood is water?	en
LOC:country	What defines a republic?	en
HUM:gr	What is a representatives?	en
HUM:desc	How are therapists?	en
ENTY:body	How many segments does the human spine have?	en
ENTY:dismed	What is lisinopril used for?	en
NUM:perc	What percentage of minorities in the population?	en
ENTY:lang	What language is spoken in Serbia?	en
ENTY:body	What are actin and myosin?	en
LOC:mount	What is the height of Andes Mountains?	en
ENTY:animal	What is a group of turkeys called	en
DESC:manner	In what way do runners sprint?	en
NUM:weight	what is the combined mass of all ants in the world	en
HUM:ind	Who became president of the U.S. in 1789	en
ABBR:abb	What does laser stand for?	en
ENTY:veh	What is a fleet vehicle?	en
NUM:period	How many hours does a typical night shift last?	en
HUM:desc	Who invented the printing press?	en
NUM:period	What is the age when most humans reach full cognitive development?	en
DESC:reason	What causes infections?	en
ENTY:instru	What tool measures resistance?	en
HUM:desc	What does a teacher do?	en
NUM:speed	What is the maximum speed of a train?	en
DESC:desc	What is the Aurora Borealis like?	en
NUM:volsize	How big is the universe actually	en
DESC:desc	What conveys rage?	en
LOC:country	What continent is South Korea in?	en
ENTY:animal	How do animals innovate?	en
ENTY:color	How do languages name colors?	en
NUM:other	What is pi?	en
ENTY:sport	What chess outcome results when a player has no legal move	en
ENTY:plant	What is a seaweed?	en
ENTY:techmeth	What is stem cells?	en
DESC:def	What is denotation?	en
HUM:gr	What is a squad?	en
NUM:code	What pattern exists in postal codes across different regions?	en
ENTY:event	Tell me about the COVID-19 pandemic	en
NUM:weight	What is the weight of a typical adult brain?	en
DESC:manner	In what manner do glaziers cut?	en
ENTY:other	What is damage to business and government caused by bureaucracy	en
ENTY:body	How many types of white blood cells are there?	en
ENTY:dismed	What is the fear of the computer called	en
NUM:money	What is a movie ticket price?	en
ENTY:color	What color eyes are most sensitive to light	en
ENTY:animal	How do animals store food?	en
ABBR:exp	CNN is the abbreviation for what	en
ABBR:abb	What does RF stand for?	en
HUM:desc	What is a dermatologist?	en
ENTY:veh	Which airplane was Fawaz Younis convicted of hijacking	en
DESC:def	What do we mean by hormone?	en
ENTY:sport	How is cricket played?	en
ABBR:exp	CMO stands for what?	en
ENTY:veh	How long is a typical container ship?	en
ENTY:event	Tell me about the Industrial Revolution	en
ENTY:animal	What is a panda?	en
LOC:state	Where is Ohio?	en
ENTY:religion	What is the Baháʼí Faith based on?	en
ABBR:exp	What does EPA expand to?	en
ABBR:abb	What is the meaning of EPA?	en
ENTY:instru	What is a telescope used for?	en
ENTY:veh	How many passenger seats are in a typical urban bus?	en
NUM:perc	What percentage of the worlds population lives in cities?	en
ENTY:sport	What are the rules of high jump?	en
ENTY:food	Where does beer come from?	en
ABBR:abb	What does HTTPS stand for?	en
HUM:desc	What does a pulmonologist do?	en
ENTY:veh	What is the horsepower of a Lamborghini Huracán?	en
LOC:state	What is an enclave?	en
NUM:code	What is the octal code for escape character?	en
NUM:perc	What percentage is grassland?	en
ENTY:symbol	What symbol denotes asterisk?	en
DESC:desc	Can you describe the Mona Lisa?	en
NUM:code	What system determines the digits in a social security number?	en
NUM:perc	What percentage of the population is nearsighted?	en
ABBR:exp	What is UN?	en
DESC:def	What is agent orange	en
NUM:speed	What is the speed of a roller coaster?	en
NUM:period	What is the standard duration of maternity leave?	en
ENTY:body	What are synapses?	en
NUM:dist	how far is Ceuta from Gibraltar	en
ENTY:religion	What religion do Seventh-day Adventists follow?	en
ENTY:color	What is a common cyan item?	en
NUM:code	What does error code E404 mean?	en
NUM:perc	What percentage of Earths forests have been cut down?	en
NUM:count	How many colonies did Germany get to keep after World War I	en
NUM:count	How many members are in the California congressional delegation	en
LOC:mount	What is the height of Mount Rushmore?	en
ENTY:sport	What is rock climbing?	en
ENTY:animal	How big is a kangaroo?	en
ABBR:abb	What does IQ measure?	en
ENTY:currency	What is the currency of Poland?	en
HUM:gr	What inescapable purveyor of background music celebrated its 5th anniversary in July, 1984	en
LOC:other	Name a civil war battlefield	en
ABBR:abb	What is the acronym for Artificial Intelligence?	en
ENTY:instru	How does a harp resonate?	en
ABBR:abb	What is the abbreviation for micro	en
HUM:ind	Tell me about Plato	en
ENTY:animal	What is a antelope?	en
ENTY:cremat	What book opens At a certain village in La Mancha, which I shall not name..	en
ENTY:body	How does the heart pump?	en
NUM:date	When was Ulysses S. Grant born	en
ENTY:body	What does the vertebra do?	en
DESC:desc	How are relationships described relationally?	en
ENTY:techmeth	What is CRISPR?	en
DESC:desc	What is the daily requirement of folic acid for an expectant mother	en
ENTY:animal	What two animals are specifically mentioned as being in Noahs Ark	en
ENTY:food	How is crab?	en
NUM:money	How much does a cup of coffee cost?	en
ENTY:product	What is a hairbrush made of?	en
ENTY:color	How does hue vary?	en
ENTY:food	What do you get by adding Lactobacillus bulgaricus to milk	en
ENTY:word	What does inauspicious mean?	en
ENTY:plant	What is a broccoli?	en
NUM:dist	How far is London from Prague?	en
DESC:manner	How can I get my product licensed by the NBA	en
ABBR:exp	What does RF expand to?	en
ENTY:substance	What is argon?	en
DESC:manner	How did the 7th inning stretch get started	en
ENTY:plant	What plant is carnivorous?	en
ENTY:color	How does Mie scattering work?	en
ENTY:lang	Name a Gaelic language	en
NUM:dist	What is the distance between Sydney and Auckland?	en
HUM:gr	What university football team did O.J. Simpson take to the Rose Bowl	en
ENTY:animal	What four-legged creature did a Cornell University study say would make mans best companion in space	en
ENTY:veh	How deep is a cargo container floor?	en
NUM:perc	What percentage is expected to pass?	en
DESC:def	What is the definition of low island	en
NUM:perc	What percentage of the worlds food is wasted?	en
ENTY:veh	What is a roller compactor?	en
ABBR:abb	Define the abbreviation SSH	en
DESC:reason	Why do markets fluctuate?	en
NUM:weight	tell me the mass of jupiter	en
NUM:other	What is a prime number?	en
NUM:perc	What percentage of the worlds oxygen is produced by the ocean?	en
ENTY:animal	What makes homing adaptive?	en
ABBR:abb	What does JSON store?	en
ENTY:techmeth	What is the Internet of Things?	en
LOC:other	What are some good medical sites for information	en
ENTY:religion	What is Alawite Islam?	en
ABBR:abb	What is the meaning of WHO?	en
ENTY:letter	What letter denotes the accusative case?	en
DESC:reason	How come a doughnut has a hole in it	en
LOC:state	What eastern state sprouted the first commercial nuclear power plant in the U.S.	en
LOC:city	The Kentucky Horse Park is close to which American city	en
ABBR:abb	What is the shorthand for Wide Area Network?	en
ENTY:termeq	What is pragmatics?	en
NUM:date	What year was electricity discovered?	en
ENTY:instru	What device measures heat?	en
LOC:other	What is website of the International Court of Justice	en
ENTY:instru	What tool measures thermal conductivity?	en
NUM:period	How many days in a month?	en
ENTY:dismed	Name a medicine commonly used to combat AIDS	en
NUM:period	How many weeks of gestation does a human need to be viable?	en
NUM:count	What is the population of China?	en
NUM:other	Whats a perfect score in a gymnastics exercise	en
LOC:mount	How high is Mount Whitney?	en
LOC:state	What is Ohio known for?	en
ENTY:cremat	What is a wake reception?	en
ENTY:termeq	Is lawyer the same as attorney?	en
DESC:def	How do paradoxes work?	en
ENTY:letter	What is the least used letter in English?	en
DESC:def	What is the definition of algorithm?	en
ENTY:body	Where is the stomach?	en
DESC:reason	What causes roots to grow downward?	en
ENTY:plant	Where do willows grow?	en
ENTY:animal	What makes running fast?	en
DESC:def	What do we mean by metaphor?	en
HUM:ind	How does a entrepreneur contribute?	en
NUM:dist	How high must a mountain be to be called a mountain	en
ABBR:abb	What does WHO stand for?	en
NUM:period	What is the typical duration of a documentary?	en
HUM:desc	What does a geomorphologist study?	en
DESC:reason	What causes cramps?	en
ENTY:lang	How many people speak Korean?	en
NUM:period	How many centuries has human civilization existed?	en
ENTY:religion	What religion is Monophysitism?	en
HUM:ind	What mayor made so many TV appearances he was asked to join AFTRA in 1984	en
ENTY:lang	What language is spoken in Hungary?	en
ABBR:exp	What does BTU mean	en
ABBR:exp	What does CPR stand for	en
HUM:gr	Who are the natives?	en
DESC:manner	In what manner do zoologists categorize?	en
ABBR:exp	Spell out the acronym OLED	en
HUM:desc	What is the role of a mentor?	en
ENTY:other	What did Louis Cartier invent for aviator Santos Dumont in 1940	en
ENTY:word	Whats another word that means knows all	en
NUM:volsize	how small is a microbe	en
