label	question	answer	lang
ENTY:plant	Botanical gardens work to preserve rare species; provide the name of the endangered 'Wollemia' pine found in Australia.	The Wollemi Pine.	en
NUM:volsize	Bottle cap?	One liter.	en
NUM:volsize	Bottle capacity?	One liter.	en
NUM:volsize	Bottle size?	One liter.	en
NUM:weight	Brain mass?	1.4 kilograms.	en
ENTY:body	Brain parts?	The cerebrum.	en
NUM:volsize	Brain size?	1,200 cubic cm.	en
NUM:volsize	Brain volume?	1,200 cubic cm.	en
ENTY:instru	Brass slide device?	The trombone.	en
LOC:state	Brazil has twenty-six states; provide the name of the one located in the heart of the Amazon.	Amazonas.	en
LOC:country	Brazil size?	Brazil.	en
ENTY:currency	Brazil unit?	Real.	en
ENTY:food	Bread flour?	Wheat flour.	en
NUM:weight	Brick weight?	Two kilograms.	en
ENTY:substance	Bronze make?	Copper and tin.	en
ENTY:substance	Bronze makeup?	Copper and tin.	en
NUM:money	BTC value?	0,000.	en
NUM:volsize	Bucket size?	Ten liters.	en
ENTY:religion	Buddhist path?	Buddhism.	en
ENTY:symbol	Buddhist wheel name?	The Dharmachakra.	en
DESC:manner	Build shelf?	Cut the wood and screw the pieces together.	en
NUM:speed	Bullet?	800 m/s.	en
ENTY:other	Bureaucracy?	Red tape.	en
ENTY:food	Burger meat?	Ground beef.	en
NUM:dist	Burj tall?	828 meters.	en
ENTY:other	Business loss?	Net loss.	en
ENTY:plant	Cactus spines?	The Cactus.	en
LOC:city	Cairo Egypt?	Cairo.	en
LOC:state	California?	California.	en
BOOL:yesno	Can a blue whale survive on land for a day?	No.	en
BOOL:yesno	Can a computer think like a human being?	No.	en
BOOL:yesno	Can a human hold their breath for ten minutes?	No.	en
BOOL:yesno	Can a modern commercial jet aircraft fly safely through a volcanic ash cloud during an eruption?	No.	en
BOOL:yesno	Can a person actually catch a common cold from being out in the cold weather?	No.	en
BOOL:yesno	Can a single cell be seen with the naked eye?	No.	en
BOOL:yesno	Can an electric car function without a traditional battery?	No.	en
BOOL:yesno	Can an electric car travel over five hundred miles on a single charge today?	Yes.	en
BOOL:yesno	Can ants lift?	Yes.	en
BOOL:yesno	Can birds fly?	Yes.	en
BOOL:yesno	Can fish fly?	No.	en
BOOL:yesno	Can humans see UV?	No.	en
BOOL:yesno	Can humans survive without any sleep for a full month?	No.	en
BOOL:yesno	Can light be trapped by the gravity of a black hole?	Yes.	en
BOOL:yesno	Can sound travel through a vacuum in space?	No.	en
BOOL:yesno	Can the Great Barrier Reef be seen from space by an astronaut in orbit?	Yes.	en
BOOL:yesno	Can the International Space Station be seen with the naked eye from the Earth's surface?	Yes.	en
DESC:reason	Can you describe the economic reasons for the 2008 global financial crisis involving subprime mortgages?	Predatory lending and the housing bubble burst.	en
DESC:reason	Can you describe the economic reasons for the 2008 global financial crisis, focusing on the role of the housing market and subprime mortgages?	Risky lending and the collapse of the housing bubble led to a systemic banking failure.	en
ENTY:product	Can you describe the internal mechanism and the mathematical complexity of a Rubik's Cube puzzle?	The Rubik's Cube.	en
ENTY:word	Can you describe the meaning of the word 'meticulous' and its connotations?	Thorough.	en
ENTY:word	Can you describe the meaning of the word 'meticulous' and its uses?	Thorough.	en
DESC:manner	Can you describe the method of traditional glassblowing and the precise temperature controls required?	Gathering molten glass and blowing through a long pipe.	en
DESC:manner	Can you describe the method of traditional hand-blown glassblowing and the tools required?	Gathering molten glass and blowing through a pipe.	en
ENTY:color	Can you describe the unique shimmering color seen on a natural pearl?	Iridescent white.	en
ENTY:color	Can you describe the unique shimmering color seen on a pearl?	Iridescent white.	en
DESC:desc	Can you describe the visual style and the recurring themes in the films directed by Wes Anderson?	Symmetry, bright colors, and quirky humor.	en
DESC:desc	Can you describe the visual style and the recurring themes in the gothic novels?	Dark settings, intense emotions, and supernatural elements.	en
ENTY:word	Can you provide an antonym for the term 'expensive' in retail?	Cheap.	en
ENTY:word	Can you provide an antonym for the term 'expensive' used in retail?	Cheap.	en
ABBR:abb	Can you provide the four-letter acronym that represents the Global Positioning System in navigation technology?	GPS	en
ABBR:exp	Can you provide the full name of the trade treaty known as NAFTA and explain the goals of the North American agreement?	North American Free Trade Agreement	en
NUM:perc	Can you provide the percentage of body weight that is muscle in males?	40 percent.	en
NUM:perc	Can you provide the percentage of the human body's total weight that is muscle in adult males?	40 percent.	en
ENTY:termeq	Can you tell me another name for the element 'Quicksilver' on the periodic table?	Mercury.	en
ENTY:termeq	Can you tell me another name for the element 'Quicksilver' on the table?	Mercury.	en
BOOL:yesno	Can you tell me if sound travels faster in water than air?	Yes.	en
BOOL:yesno	Can you tell me if the planet Jupiter has a solid surface to stand on?	No.	en
NUM:temp	Can you tell me the average winter temperature in the Antarctic interior?	-60 degrees.	en
NUM:temp	Can you tell me the average winter temperature in the Antarctic?	-60 degrees Celsius.	en
NUM:money	Can you tell me the current market capitalization of the company NVIDIA?	trillion.	en
NUM:money	Can you tell me the current market price of one barrel of Brent crude oil?	0.	en
NUM:date	Can you tell me the date of the 1906 San Francisco earthquake and fire?	April 18, 1906.	en
NUM:date	Can you tell me the date of the 1906 San Francisco earthquake?	April 18, 1906.	en
NUM:dist	Can you tell me the distance in kilometers from Earth to Moon?	384,400 km.	en
NUM:dist	Can you tell me the distance in kilometers from the Earth to the Moon?	384,400 km.	en
DESC:def	Can you tell me the formal scientific definition of 'photosynthesis' including the role of chlorophyll?	The chemical process of making food from light.	en
DESC:def	Can you tell me the formal scientific definition of 'photosynthesis', including the role of chlorophyll and the conversion of solar energy into chemical energy?	The process by which green plants and some other organisms use sunlight to synthesize foods from carbon dioxide and water.	en
ABBR:exp	Can you tell me the full expansion of the acronym MOSFET used in electronics and explain what each term signifies?	Metal-Oxide-Semiconductor Field-Effect Transistor	en
NUM:period	Can you tell me the historical duration of the Hundred Years' War between nations?	116 years.	en
NUM:period	Can you tell me the historical duration of the Hundred Years' War between the French and the English?	116 years in total.	en
NUM:dist	Can you tell me the length of the bridge connecting the island of Bahrain to Saudi Arabia?	25 kilometers.	en
LOC:other	Can you tell me the location of the Great Garbage Patch in the Pacific Ocean?	Between the state of Hawaii and California.	en
NUM:weight	Can you tell me the maximum takeoff weight of the Antonov An-225 Mriya cargo plane?	640,000 kilograms.	en
NUM:weight	Can you tell me the maximum takeoff weight of the Antonov An-225 Mriya?	640,000 kilograms.	en
ENTY:event	Can you tell me the name of the 13th-century military campaigns led by Mongols?	The Mongol Invasions.	en
ENTY:event	Can you tell me the name of the 18th-century intellectual movement in Europe?	The Enlightenment.	en
ENTY:substance	Can you tell me the name of the active ingredient in aspirin?	Acetylsalicylic acid.	en
ENTY:religion	Can you tell me the name of the branch of Islam that is the majority in Iran?	Shia Islam.	en
ENTY:substance	Can you tell me the name of the chemical substance that is the active ingredient in aspirin?	Acetylsalicylic acid.	en
LOC:city	Can you tell me the name of the city that is the capital of Argentina?	Buenos Aires.	en
LOC:country	Can you tell me the name of the country that has the Nile River flowing through its heart?	Egypt.	en
ENTY:currency	Can you tell me the name of the currency of Norway and explain its code?	The Norwegian Krone.	en
ENTY:currency	Can you tell me the name of the currency of Norway and explain its primary code?	The Norwegian Krone.	en
ENTY:product	Can you tell me the name of the EUV lithography systems produced by the firm ASML?	Twinscan.	en
ENTY:veh	Can you tell me the name of the flagship aircraft carrier of the United States Navy today?	The USS Gerald R. Ford.	en
ENTY:veh	Can you tell me the name of the flagship aircraft carrier of the US Navy?	The USS Gerald R. Ford.	en
ENTY:techmeth	Can you tell me the name of the industrial process used to synthesize ammonia for fertilizers?	The Haber-Bosch process.	en
ENTY:lang	Can you tell me the name of the language that is considered a 'constructed language' for peace?	Esperanto.	en
ENTY:other	Can you tell me the name of the linguistic term for a word that sounds like the action it describes?	Onomatopoeia.	en
ENTY:other	Can you tell me the name of the linguistic term for a word that sounds like what it describes, such as 'buzz'?	Onomatopoeia.	en
HUM:ind	Can you tell me the name of the mathematician who cracked the Enigma code?	Alan Turing.	en
LOC:mount	Can you tell me the name of the mountain in Greece where the gods lived in myth?	Mount Olympus.	en
LOC:mount	Can you tell me the name of the mountain range located in North Africa?	The Atlas Mountains.	en
LOC:water	Can you tell me the name of the ocean that is located to the south of Asia?	The Indian Ocean.	en
HUM:gr	Can you tell me the name of the organization that awards the Nobel Prizes annually?	The Nobel Foundation.	en
HUM:gr	Can you tell me the name of the organization that awards the Nobel Prizes?	The Nobel Foundation.	en
LOC:landmass	Can you tell me the name of the peninsula that separates the Red Sea from the Gulf of Aden?	The Horn of Africa.	en
ENTY:letter	Can you tell me the name of the phonetic character used for the 'glottal stop'?	The glottal stop.	en
ENTY:letter	Can you tell me the name of the phonetic character used to represent the 'glottal stop' sound?	The glottal stop.	en
LOC:landmass	Can you tell me the name of the plateau often referred to as the 'Roof of the World'?	The Tibetan Plateau.	en
ENTY:animal	Can you tell me the name of the primate that is our closest genetic relative?	The Bonobo.	en
ENTY:techmeth	Can you tell me the name of the process for ammonia synthesis?	Haber-Bosch.	en
LOC:state	Can you tell me the name of the region in Spain that has its own language?	Catalonia.	en
NUM:ord	Can you tell me the name of the second sign of the Chinese zodiac?	The Ox.	en
ENTY:religion	Can you tell me the name of the specific branch of Islam that is the majority in the state of Iran?	Shia Islam.	en
ENTY:symbol	Can you tell me the name of the specific symbol that represents the holy sound of Om?	The Om symbol.	en
LOC:state	Can you tell me the name of the state in India where the Taj Mahal is located?	Uttar Pradesh.	en
ENTY:plant	Can you tell me the name of the succulent plant from Africa that looks like a cluster of stones?	Lithops.	en
ENTY:plant	Can you tell me the name of the succulent plant from Africa that looks like stones?	Lithops.	en
ENTY:body	Can you tell me the name of the three tiny bones located in the middle ear?	Ossicles.	en
ENTY:sport	Can you tell me the name of the traditional Asian sport where players attempt to tag opponents while chanting?	Kabaddi.	en
ENTY:sport	Can you tell me the name of the traditional Asian tagging sport?	Kabaddi.	en
ENTY:instru	Can you tell me the name of the traditional Chinese two-stringed vertical fiddle?	The erhu.	en
ENTY:food	Can you tell me the name of the traditional Vietnamese noodle soup served with herbs?	Pho.	en
NUM:count	Can you tell me the number of official languages in Switzerland?	Four.	en
NUM:count	Can you tell me the number of official languages in the United Nations?	Six.	en
NUM:other	Can you tell me the numerical value of the speed of light in a vacuum?	299,792,458 m/s.	en
NUM:speed	Can you tell me the orbital speed of the International Space Station currently?	17,100 mph.	en
NUM:speed	Can you tell me the orbital speed of the Space Station currently?	17,100 mph.	en
NUM:ord	Can you tell me the rank of the city of Hamburg in Germany?	Second largest.	en
ENTY:cremat	Can you tell me the title of the film directed by Wes Anderson about a hotel?	The Grand Budapest Hotel.	en
HUM:title	Can you tell me the title used for a high official in the historical Ottoman Empire?	Grand Vizier.	en
NUM:code	Can you tell me the universal product code for a can of Coca-Cola?	049000028904.	en
NUM:volsize	Can you tell me the volume of the Caspian Sea in terms of its water?	78,200 cubic km.	en
NUM:volsize	Can you tell me the volume of the Caspian Sea in terms of water space?	78,000 cubic km.	en
LOC:country	Canada area?	Canada.	en
NUM:money	Car cost?	0,000.	en
ENTY:other	Card name?	Tarot cards.	en
ENTY:cremat	Carmen opera?	Carmen.	en
ENTY:animal	Cartilage fish?	The Shark.	en
ENTY:religion	Catholic Pope?	Catholicism.	en
DESC:reason	Causes of rain?	Water vapor cooling and condensing.	en
DESC:reason	Causes of wind?	Atmospheric pressure differences.	en
ENTY:instru	Cello sound?	The cello.	en
LOC:other	Center of US?	Kansas.	en
HUM:title	CEO role?	Chief Executive Officer.	en
DESC:manner	Change a tire?	Jack up the car and swap the wheels.	en
ENTY:food	Cheese type?	Cheddar.	en
NUM:speed	Cheetah?	70 mph.	en
HUM:desc	Chef's work?	A professional who prepares food in a kitchen.	en
NUM:code	Chemical symbol for Tungsten?	W.	en
ENTY:symbol	Chemical symbols on the periodic table are derived from various linguistic roots; provide the name for the silver symbol.	Argentum.	en
NUM:date	Chernobyl year?	1986.	en
ENTY:event	Chernobyl?	The Chernobyl disaster.	en
HUM:title	Church rank?	Cardinal.	en
ENTY:cremat	Citizen Kane?	Citizen Kane.	en
DESC:manner	Clean car?	Scrub with soap and rinse with clean water.	en
ENTY:color	Coal black?	Sable.	en
ENTY:color	Coal color?	Black.	en
ENTY:color	Coal shade?	Sable.	en
ENTY:product	Coca-Cola?	Coca-Cola.	en
ENTY:sport	Combat sport?	Boxing.	en
NUM:code	Computer networking relies on IP addresses; provide the IPv4 for localhost.	127.0.0.1.	en
LOC:water	Congo River?	The Congo.	en
ENTY:letter	Consonant B?	B.	en
ENTY:lang	Constructed languages like Klingon have complex rules; provide the name of the creator of the language.	Marc Okrand.	en
ENTY:body	Control center?	The brain.	en
DESC:manner	Cook steak?	Sear in a pan until the center is done.	en
LOC:other	Coordinates 0,0?	Null Island.	en
ENTY:substance	Copper wire?	Copper.	en
ENTY:cremat	Corleone film?	The Godfather.	en
NUM:money	Cost of a gallon of milk?	.20.	en
NUM:money	Cost to build the Golden Gate Bridge?	5 million.	en
NUM:perc	Could you please calculate the exact percentage of the world's oxygen produced by phytoplankton?	50 to 80 percent.	en
NUM:perc	Could you please calculate the exact percentage of world oxygen from plankton?	50 to 80 percent.	en
ENTY:word	Could you please explain the linguistic concept of a 'portmanteau' word?	Smog.	en
DESC:reason	Could you please explain the scientific reasons why the ozone layer is being depleted by humans?	Release of CFCs breaking down ozone molecules.	en
DESC:reason	Could you please explain the scientific reasons why the ozone layer is being depleted, specifically focusing on the role of chlorofluorocarbons?	CFCs release chlorine atoms that break down ozone molecules in the stratosphere.	en
DESC:desc	Could you please provide a detailed character sketch of a typical forensic pathologist?	A doctor who investigates suspicious deaths.	en
DESC:def	Could you please provide a detailed definition of the term 'thermodynamics' specifically explaining energy laws?	The science of heat and energy relations.	en
DESC:def	Could you please provide a detailed definition of the term 'thermodynamics', specifically explaining the first and second laws in the context of energy transfer?	The branch of physical science that deals with the relations between heat and other forms of energy.	en
HUM:desc	Could you please provide a detailed description of the air traffic controller?	Managing flight paths and ensuring safety in the skies.	en
HUM:desc	Could you please provide a detailed description of the daily responsibilities for an air traffic controller?	Managing flight paths and ensuring safety in the skies.	en
DESC:desc	Could you please provide a detailed description of the nature of a polar desert?	A cold, dry region with very little precipitation.	en
ENTY:color	Could you please provide a detailed explanation of the shade known as navy blue?	Dark blue.	en
ENTY:color	Could you please provide a detailed explanation of the shade navy blue?	Dark blue.	en
DESC:manner	Could you please provide a step-by-step guide on how to safely change a flat tire on a busy highway?	Move to the shoulder and use a jack and wrench.	en
DESC:manner	Could you please provide a step-by-step guide on how to safely change a flat tire on a highway?	Move to the shoulder and use a jack and wrench.	en
DESC:manner	Could you please provide a step-by-step guide on how to safely change a flat tire on a vehicle?	Loosen bolts, jack up the car, and swap the tire.	en
ENTY:termeq	Could you please provide a synonym for the word 'reliable' for a person?	Trustworthy.	en
ENTY:termeq	Could you please provide a synonym for the word 'reliable' when describing a person?	Trustworthy.	en
NUM:ord	Could you please provide the chronological position of the planet Neptune?	Eighth.	en
NUM:code	Could you please provide the exact binary code for a carriage return?	00001101.	en
NUM:date	Could you please provide the exact date and year when the Magna Carta was signed?	June 15, 1215.	en
NUM:date	Could you please provide the exact date the Magna Carta was signed?	June 15, 1215.	en
NUM:period	Could you please provide the exact duration of a sidereal year compared to a tropical year for Earth?	365.256 days versus 365.242 days.	en
NUM:period	Could you please provide the exact duration of a sidereal year for Earth?	365.25 days.	en
LOC:other	Could you please provide the exact geographical coordinates for the peak of Mount Everest?	27.9881° N, 86.9250° E.	en
NUM:dist	Could you please provide the exact height of the Burj Khalifa including its tip?	829.8 meters.	en
NUM:dist	Could you please provide the exact height of the Great Pyramid of Giza?	138 meters.	en
NUM:weight	Could you please provide the exact mass of a single water molecule?	2.99 x 10^-23 grams.	en
NUM:weight	Could you please provide the exact mass of the Higgs boson particle as measured in GeV units?	125.1 GeV/c^2.	en
NUM:speed	Could you please provide the exact top speed of the SR-71 aircraft?	2,193 mph.	en
NUM:speed	Could you please provide the exact top speed of the SR-71 Blackbird aircraft?	2,193 mph.	en
ABBR:exp	Could you please provide the full and exact expansion for the acronym CRISPR used in modern gene-editing technology today?	Clustered Regularly Interspaced Short Palindromic Repeats	en
NUM:other	Could you please provide the most accurate measurement of the Planck constant?	6.62607015 x 10^-34.	en
ENTY:event	Could you please provide the name of the 17th-century fire that destroyed London?	The Great Fire of London.	en
ENTY:event	Could you please provide the name of the 19th-century gold rush in California?	The California Gold Rush.	en
ENTY:veh	Could you please provide the name of the aircraft that broke the sound barrier?	The Bell X-1.	en
LOC:city	Could you please provide the name of the city that is famous for its network of canals in Holland?	Amsterdam.	en
ENTY:product	Could you please provide the name of the components found in a Tesla Powerwall home battery system?	The Powerwall.	en
LOC:country	Could you please provide the name of the country that borders both the US and Guatemala?	Mexico.	en
ENTY:currency	Could you please provide the name of the currency used in Sweden and its subunit?	The Swedish Krona.	en
ENTY:animal	Could you please provide the name of the deep-sea fish with a bioluminescent lure?	The Anglerfish.	en
LOC:landmass	Could you please provide the name of the desert located in the western United States?	The Mojave Desert.	en
ENTY:substance	Could you please provide the name of the element in the Sun?	Hydrogen.	en
ENTY:substance	Could you please provide the name of the element that is the primary component of the Sun?	Hydrogen.	en
ENTY:food	Could you please provide the name of the fruit known as the 'king of fruits' in Asia?	Durian.	en
ENTY:other	Could you please provide the name of the fundamental physical constant that is the basis for all quantum mechanics?	The Planck constant.	en
ENTY:other	Could you please provide the name of the fundamental physical constant that is the basis for quantum mechanics?	The Planck constant.	en
ENTY:letter	Could you please provide the name of the Greek letter that is the final character of that alphabet?	Omega.	en
ENTY:letter	Could you please provide the name of the Greek letter that is the final character?	Omega.	en
HUM:gr	Could you please provide the name of the group responsible for the Magna Carta?	The English Barons.	en
HUM:gr	Could you please provide the name of the group that was responsible for the Magna Carta?	The English Barons.	en
LOC:mount	Could you please provide the name of the highest peak in the Antarctic continent?	Mount Vinson.	en
ENTY:product	Could you please provide the name of the home battery system manufactured by Tesla?	The Powerwall.	en
HUM:ind	Could you please provide the name of the individual who wrote the novel '1984'?	George Orwell.	en
ENTY:instru	Could you please provide the name of the instrument used by the master luthier Stradivarius?	The violin.	en
ENTY:lang	Could you please provide the name of the language spoken in the state of Bavaria?	German.	en
LOC:mount	Could you please provide the name of the mountain range that contains the Jungfrau?	The Bernese Alps.	en
ENTY:currency	Could you please provide the name of the official currency used in the Philippines today?	The Philippine Peso.	en
ENTY:plant	Could you please provide the name of the parasitic plant that is commonly used as a holiday decoration?	Mistletoe.	en
ENTY:plant	Could you please provide the name of the parasitic plant used as a holiday decoration?	Mistletoe.	en
LOC:landmass	Could you please provide the name of the peninsula that contains both Spain and Portugal?	The Iberian Peninsula.	en
HUM:title	Could you please provide the name of the rank that is a Five-Star General in the US Army?	General of the Army.	en
HUM:title	Could you please provide the name of the rank that is a Five-Star General?	General of the Army.	en
ENTY:religion	Could you please provide the name of the religious tradition that follows the teachings of Confucius?	Confucianism.	en
LOC:water	Could you please provide the name of the river that has the largest discharge?	The Amazon.	en
ENTY:body	Could you please provide the name of the specialized cells that carry oxygen in the blood?	Red blood cells.	en
ENTY:veh	Could you please provide the name of the specific aircraft that was the first to break the sound barrier?	The Bell X-1.	en
ENTY:techmeth	Could you please provide the name of the specific technology used in modern touchscreen displays?	Capacitive sensing.	en
ENTY:sport	Could you please provide the name of the sport that features the famous Tour de France race?	Road cycling.	en
ENTY:sport	Could you please provide the name of the sport with the Tour de France?	Road cycling.	en
LOC:state	Could you please provide the name of the state in the US known as the 'Lone Star State'?	Texas.	en
ENTY:symbol	Could you please provide the name of the symbol used in heraldry that features a lily?	The Fleur-de-lis.	en
ENTY:techmeth	Could you please provide the name of the tech in touchscreens?	Capacitive sensing.	en
ENTY:religion	Could you please provide the name of the tradition following Confucius?	Confucianism.	en
NUM:ord	Could you please provide the name of the US President who was sixteenth?	Abraham Lincoln.	en
LOC:state	Could you please provide the names of all the states that border the Mississippi River?	MN, WI, IA, and others.	en
