label,text
wh_question,What is the chemical formula for water?
exclamation,What a talented musician he is!
wh_question,When will the package arrive?
command,Go ahead with the plan as discussed.
exclamation,What a bright light that is!
exclamation,How extraordinarily beautiful this is!
wh_question,What is your name please?
statement,The policy has been implemented successfully.
statement,The rain stopped suddenly this morning.
request,Could you connect me with support?
command,Wake up early tomorrow morning.
request,Would you adjust your schedule for this?
statement,The team has been training hard for the match.
command,Identify the problem quickly.
statement,The results exceeded our expectations.
statement,The children are doing their homework.
exclamation,How enormous this building is!
wh_question,Which country has the most people?
request,May I use your phone for a moment?
statement,He always drinks coffee in the morning.
exclamation,How remarkably precise this is!
polar_question,Hadn't they warned us already?
request,Could I ask for your honest opinion?
statement,He runs five miles every morning.
wh_question,Where is the nearest hospital?
exclamation,How brave of you to do that!
polar_question,Has anyone seen my keys anywhere?
wh_question,Where should I put this box?
request,Would you please clarify that for me?
statement,The weather has been unpredictable lately.
wh_question,Who are those people over there?
exclamation,How tremendously exciting this news is!
command,Join the discussion when you can.
statement,The students are studying for exams.
request,Would you consider an extension on this?
statement,The product has been improved significantly.
statement,The problem has been solved elegantly.
command,Calculate the total expenses for this month.
request,Could you turn down the music a bit?
command,Hang up properly when finished.
statement,She teaches mathematics at a high school.
exclamation,How absolutely harmonious this sounds!
polar_question,Has he called yet today?
command,Submit the application before Friday.
wh_question,Where does the Amazon River start?
command,Determine the cause of the issue.
exclamation,How tremendously refreshing this drink is!
request,Would you mind waiting a moment please?
command,Hesitate no longer and act now.
exclamation,What a brilliant idea this is!
statement,The teacher explained the lesson clearly.
exclamation,What a magnificent orchestra this is!
wh_question,Which element has the atomic number 1?
request,Would you sponsor my membership application?
request,Would it be possible to reschedule our meeting?
exclamation,How extraordinarily rare this artifact is!
command,Focus on the task at hand.
request,Could you ensure this gets done today?
wh_question,Who painted The Starry Night?
exclamation,What a tiny kitten this is!
statement,The car broke down on the highway.
command,Finish the project by end of week.
statement,We have been looking for a new apartment.
polar_question,Are you going anywhere special this weekend?
exclamation,What a loud thunderstorm we had!
wh_question,Who told you that story about the incident?
request,Would you be amenable to this proposal?
wh_question,Where is the Pyramids of Giza located?
exclamation,What a spectacular aurora borealis this is!
exclamation,What a fantastic performance by the team!
request,Could I request a transfer to another department?
request,Would you mind if I joined you for lunch?
exclamation,How remarkably entertaining this show is!
request,Could you process my application today?
wh_question,When did the Titanic sink?
command,Escort them to the exit please.
command,Drive safely on the roads today.
request,Would you please cancel my subscription?
command,Expand your knowledge every day.
command,Cancel the subscription immediately.
wh_question,What is the hardest natural substance?
request,Can you recommend a good restaurant nearby?
statement,The children have been behaving well lately.
wh_question,How deep is the Mariana Trench?
command,Refer patients to a specialist when needed.
command,Join us for dinner this evening.
request,Would you grant me permission for this?
command,Keep it simple and clear.
request,Could I get a glass of water please?
statement,The book belongs to the library.
request,May I ask a question about this topic?
exclamation,How tragic this story is!
wh_question,Who developed the theory of relativity?
exclamation,How hot the weather is today!
polar_question,Doesn't that seem odd to you?
exclamation,How brilliant your solution is!
exclamation,What an interesting story this is!
command,Implement the solution as proposed.
exclamation,How lucky you are to have this opportunity!
wh_question,Where is the Kremlin located in Moscow?
command,Eliminate unnecessary expenses from the budget.
wh_question,Who discovered penicillin?
request,Can you send me the report by email?
exclamation,How quick the service was!
statement,She has been practicing the piano daily.
exclamation,How cute the puppy is!
request,Could you repeat that please?
command,Contribute your ideas to the discussion.
command,Continue with the process as planned.
command,Be quiet during the meeting.
command,Make your bed every morning.
statement,I have been working on this since morning.
request,Could I have your contact information?
polar_question,Had they considered all options before deciding?
command,Write your name on the form.
exclamation,What a spectacular view from up here!
exclamation,What a terrible movie that was!
statement,The situation is becoming more complicated.
wh_question,Why did she leave so early this morning?
command,Evaluate the performance of the team.
request,Would you please be quiet during the presentation?
polar_question,Would you like some coffee?
exclamation,How tremendously vibrant this colors are!
wh_question,Whereby is this accomplished in practice?
command,Gather the information from all sources.
request,May I sit here on this bench?
exclamation,What a funny joke you told!
statement,The teacher gave the students homework.
command,Go to the store for milk.
command,Introduce yourself to the group.
exclamation,What an impressive collection you have!
statement,The music was playing softly in the background.
exclamation,What an incredible discovery this is!
exclamation,What a scary movie that was!
polar_question,Will anyone else attend the event?
command,Meet me at noon tomorrow.
wh_question,How much does an elephant weigh?
request,Could you verify this information for me?
request,May I have your attention please?
polar_question,Does she speak Spanish fluently?
statement,He appeared to be quite nervous during the interview.
request,May I leave early today?
command,Sit down and relax please.
command,Read this book when you have time.
command,Face your fears and overcome them.
statement,She speaks three languages fluently.
polar_question,Were they at home when you called?
command,Bring the documents tomorrow morning.
statement,The software has been updated recently.
command,Improve your skills every day.
command,Apply pressure to the wound gently.
statement,The river flows through the forest peacefully.
exclamation,How tremendously mesmerizing this performance is!
request,Could I count on your support for this?
exclamation,How hilarious that joke was!
statement,She graduated from university last year.
command,Accompany her to the doctor tomorrow.
request,Would you please sign here on this line?
command,Listen carefully to the instructions.
request,Can you explain this to me clearly?
request,Could you see your way to helping with this?
wh_question,Who is your favorite actor in movies?
statement,She seems to be enjoying her new job.
polar_question,Would there be any objections to this plan?
exclamation,What a great idea you have!
statement,I have been enjoying the warm weather.
statement,She has always been a dedicated student.
command,Email me the details when ready.
statement,We watched the sunset from the hill.
command,Drop me at the station please.
command,Complete the assignment by Friday.
statement,He forgot his wallet at home this morning.
wh_question,What year did World War II end?
request,Would you have the time to review this document?
exclamation,How colorful the autumn leaves are!
request,Would you see fit to approve this request?
statement,Whichever works best for you is fine with me.
polar_question,Is he still working on that project?
exclamation,How remarkably impressive your work is!
wh_question,Which gas do plants absorb from the air?
command,Investigate further into this matter.
request,Could I speak with the manager please?
statement,The traffic has been terrible this morning.
statement,The economy has been growing steadily.
statement,We have known each other for years.
polar_question,Ought I to apologize for my mistake?
statement,The concert was sold out completely.
command,Correct the errors in the document.
statement,I lost my keys somewhere in the house.
exclamation,What a huge elephant at the zoo!
statement,The restaurant serves excellent Italian food.
wh_question,Which way is the bathroom from here?
exclamation,What a beautiful rainbow after the rain!
command,Interpret the data accurately.
polar_question,Do you know the answer to this question?
statement,They have been planning this trip for months.
exclamation,How absolutely radiant this sunlight is!
wh_question,Which planet has the most moons?
command,Pull the lever to start the machine.
statement,The project is progressing smoothly.
polar_question,Shouldn't we wait a bit longer?
polar_question,Has anyone else noticed this problem?
exclamation,What a magnificent building this is!
polar_question,Will you be there at the meeting?
request,Would you reassign this task to someone else?
statement,I have been feeling exhausted recently.
exclamation,What a peaceful evening this is!
request,Would you mind opening the window?
request,Can I speak to customer service please?
exclamation,How deafening this noise is!
statement,I bought a new car last month.
wh_question,How many continents are there in the world?
exclamation,How lovely this garden looks!
command,Celebrate your achievements every day.
request,May I request a refund for this product?
wh_question,What is the speed of light in km/s?
command,Excuse me for a moment while I answer this.
statement,The package arrived this morning as expected.
polar_question,Have they left already for the airport?
polar_question,Couldn't you have tried harder to succeed?
wh_question,What time does the store close today?
polar_question,Shall we proceed with the plan?
exclamation,What a delicious dessert this is!
request,Would you mind terribly if I asked for help?
wh_question,How long have you lived here in this city?
request,Could you translate this document for me?
wh_question,Where did you put the car keys?
wh_question,Where is the Colosseum located in Rome?
request,Would you take a look at this document?
exclamation,How wonderful this moment feels!
request,Could you accommodate this change in schedule?
exclamation,How incredibly talented you are!
polar_question,Was the movie good that you watched?
command,Check your calendar for availability.
exclamation,How absolutely magnificent this view is!
command,Maintain focus on your goals.
command,Attend the meeting promptly at 3 PM.
polar_question,Might it rain tomorrow according to forecast?
statement,The company has expanded globally in recent years.
wh_question,How large is the Sun compared to Earth?
exclamation,What a spectacular sunset this evening!
exclamation,What an amazing accomplishment this is!
request,Would you kindly provide the details please?
command,Fulfill your promises to others.
polar_question,Were the instructions clear enough for you?
request,Can you check my account status online?
exclamation,How absolutely wonderful this day is!
wh_question,What happened last night at the party?
exclamation,What a surprise party this turned out to be!
wh_question,Which planet is closest to the Sun in our solar system?
request,Can you provide a tracking number for my order?
wh_question,How are you today I hope you are well?
exclamation,What a magnificent cathedral this is!
command,Consider all options before deciding.
wh_question,How far is the Moon from Earth in kilometers?
command,Practice your piano lessons daily.
exclamation,How tremendously generous you are!
exclamation,What an impressive architecture this building has!
request,Could you prioritize this issue for me?
command,Execute the plan as discussed.
command,Export the data to a spreadsheet.
statement,I forgot to call my mother yesterday.
statement,They have lived here for ten years now.
wh_question,How many bones are in the human body?
wh_question,How old is the Earth in billions of years?
exclamation,What a happy ending to the story!
request,May I change my reservation to another date?
request,May I see some other options available?
exclamation,What a magnificent oak tree this is!
request,Would you have any recommendations for restaurants?
wh_question,What is the capital of Australia Canberra?
request,Might we discuss this matter further?
command,Call me when you arrive at the location.
polar_question,Are you feeling okay today?
command,Imagine the possibilities ahead of you.
request,Could I borrow your pen for a moment?
exclamation,How sweet this chocolate tastes!
command,Examine the evidence carefully.
request,Would you be good enough to check this document?
statement,We have been waiting for good news.
statement,The flowers are blooming in spring.
wh_question,When did you arrive at the airport?
polar_question,Shall we pick a date for the meeting?
exclamation,What a terrible accident that was!
command,Hand in your homework before the deadline.
exclamation,What a marvelous performance by the orchestra!
statement,They are my best friends from childhood.
polar_question,Does it really matter in the end?
command,Bring me some water please.
statement,She has been managing the team effectively.
exclamation,What a spectacular dance performance this is!
request,Could you wrap this as a gift for me?
command,Leave early today to avoid traffic.
command,Push the button to start the process.
exclamation,What a narrow escape that was!
wh_question,How fast can a cheetah run in mph?
wh_question,Which could be the best solution to this problem?
exclamation,What a wonderful surprise this is!
command,Form a team for the project.
command,Enter your password to access the system.
wh_question,How should I approach this problem?
exclamation,What a remarkable achievement this is!
polar_question,Do you intend to go to the conference?
statement,She has been living alone since last year.
statement,She sings beautifully in the choir.
command,Cover the basics before advancing.
request,Could you possibly lend me your assistance?
wh_question,Which book do you prefer reading?
command,Study for the test tomorrow.
command,Enjoy your meal at the restaurant.
command,Come here and look at this.
request,Can you forward this email to my colleague?
statement,I remember meeting you at the conference last year.
polar_question,Will it be sunny tomorrow according to weather?
polar_question,Isn't that interesting to learn about?
request,Could you repeat that please?
statement,I love reading books in my spare time.
request,Would you look into this matter for me?
wh_question,Where is the Great Wall of China located?
exclamation,How remarkably valuable this antique is!
command,Integrate the systems together.
exclamation,How absolutely brilliant your idea is!
polar_question,Do you want to go to the movies?
exclamation,How tremendously peaceful this place is!
wh_question,How come you're so tired today?
command,Follow the instructions carefully.
wh_question,What would you recommend I do?
statement,The painting was created by a famous artist.
wh_question,Which ocean is the largest on Earth?
command,Fill the form completely.
command,File the complaint with the manager.
wh_question,Which is the smallest country in the world?
request,Would you arrange for transportation for me?
statement,We finished dinner at eight o'clock.
polar_question,Do you think it will work out?
command,Assemble the furniture carefully.
exclamation,How fortunate you are to have this opportunity!
statement,They have been friends since childhood.
polar_question,Should I bring anything to the party?
command,Edit the document before submitting.
exclamation,What an astonishing development this is!
request,Would you provide your feedback on this?
exclamation,How dazzling this lights are!
command,Fix the issue as soon as possible.
command,Guide tourists around the city.
statement,She has been working here for five years.
exclamation,How difficult this challenge is!
command,Label the items clearly.
command,Debate the merits of this proposal.
command,Choose your words carefully when speaking.
request,Would you please update my information?
exclamation,What an impressive display of talent!
exclamation,How tremendously colorful this artwork is!
exclamation,What a challenging puzzle this is!
request,Would you have any objections to this plan?
polar_question,Hasn't she been working hard lately?
command,Wait for me at the station.
polar_question,Mightn't we find another way to solve this?
request,Would you mind waiting on hold for a moment?
statement,The sky is blue today.
command,Estimate the cost of the project.
wh_question,Where is the Sahara Desert located in Africa?
polar_question,Should we leave now for the airport?
exclamation,How simple this task seems!
exclamation,How sweet this melody sounds!
polar_question,Weren't you supposed to be there at the meeting?
command,Include all details in the report.
polar_question,Had you seen that before in your life?
request,Would you mind closing the door please?
command,Explain your reasoning behind this decision.
command,Take out the trash this evening.
statement,We have been waiting for an hour.
polar_question,Might we need an umbrella tomorrow?
statement,He has been learning Spanish on weekends.
exclamation,How terrible this news is!
request,Could you make an exception for me this time?
statement,The experiment yielded interesting results.
exclamation,How impressive this accomplishment is!
command,Decorate the room for the party.
exclamation,What a boring lecture that was!
statement,She has been studying for her exams.
command,Learn from mistakes and improve.
wh_question,What is the longest river in the world?
statement,The dog chased the cat around the tree.
polar_question,Could she have known about this secret?
command,Manage your time wisely.
exclamation,How tremendously inspiring this speech is!
exclamation,What an extraordinary opportunity this is!
exclamation,What a gorgeous scenery this view offers!
request,May I inquire about that matter?
command,Check the oil level in your car.
request,Could you elaborate on that point?
wh_question,Who painted the Mona Lisa famous painting?
request,Can I ask you a question about this topic?
request,Would you be willing to share your thoughts?
wh_question,When ought we to leave for the airport?
wh_question,Which metal is liquid at room temperature?
wh_question,How much does this cost in dollars?
command,Distribute the materials to all participants.
command,Connect the cables properly to the device.
statement,The children are playing in the garden.
request,Would you happen to know where the library is?
exclamation,What a close game that basketball match was!
exclamation,How remarkably intricate this design is!
command,Inform the team about the updates.
wh_question,How long does it take to orbit Earth?
wh_question,What is the largest mammal on Earth?
request,Could I reschedule my appointment to next week?
command,Contact the support team for help.
command,Help yourself to some refreshments.
command,Avoid excessive spending this month.
polar_question,Wasn't it supposed to rain today?
request,Can you help me with this problem?
command,Clean your room before guests arrive.
polar_question,Should we have done it differently?
wh_question,How tall is Mount Everest in meters?
exclamation,What a fast car this sports car is!
exclamation,What a delightful surprise this turned out to be!
statement,The garden has been blooming wonderfully this spring.
statement,The building has been renovated beautifully.
wh_question,What is the largest desert in the world?
statement,The conference was very informative.
command,Hang up the coat on the hanger.
exclamation,What a spectacular light show this is!
exclamation,What a close call that situation was!
wh_question,Which one do you prefer between these options?
request,Can you suggest a solution to this problem?
statement,I have two brothers and one sister.
request,Would you pass the salt please?
command,Inspect the equipment before using.
statement,The train arrives at noon every day.
exclamation,How remarkably creative this design is!
statement,The book was written by a renowned author.
wh_question,What is the currency of Japan the yen?
request,Can I have a piece of cake please?
command,Report any issues immediately to management.
statement,She painted the walls white last weekend.
request,Would you please provide your feedback on this?
statement,The birds are flying south for winter.
exclamation,What a magnificent palace this is!
exclamation,What a beautiful day this is for a walk!
request,Could I impose upon you for a favor?
wh_question,Who invented the light bulb Thomas Edison?
wh_question,What might cause this issue in your opinion?
request,Could I prevail upon you to help with this?
command,Look at the board for instructions.
statement,The situation has been under control.
request,Could you possibly arrange this for me?
exclamation,How tremendously graceful this dancer is!
exclamation,What a fantastic view from the balcony!
request,Would you be so kind as to help me?
exclamation,How clever you are to solve that puzzle!
exclamation,How scary this horror movie is!
wh_question,Who was the first person on the Moon Neil Armstrong?
wh_question,Where is Machu Picchu located in Peru?
command,Develop a strategy for success.
wh_question,Where is the Taj Mahal located in India?
command,Limit your spending this month.
statement,The food tasted delicious at the restaurant.
request,Can you help me with this task?
command,Draw a diagram of the process.
command,Text me later when you're free.
request,Would you please return this by Friday?
exclamation,How tedious this paperwork is!
statement,He has been recovering well from surgery.
wh_question,Why are you here at this meeting?
command,Control your temper in difficult situations.
exclamation,How fascinating this discovery is!
command,Install the software on your computer.
polar_question,Didn't I tell you so about this matter?
exclamation,What a horrible noise this construction makes!
command,Start the engine of the car.
statement,The movie was fantastic last night.
exclamation,What a mess this room is in!
exclamation,What a loud explosion that was!
command,Clean up your workspace before leaving.
exclamation,What a spectacular fireworks show this is!
command,Forgive and forget past mistakes.
wh_question,How many countries are in Europe currently?
statement,The proposal was approved unanimously.
request,Can I get a receipt please for this purchase?
request,Could I depend on you for this task?
wh_question,Where is Mount Kilimanjaro located in Africa?
statement,I felt tired after the long walk yesterday.
wh_question,When did humans first land on the Moon 1969?
request,Could you possibly make an exception for me?
command,Follow the signs to the exit.
statement,The weather was unusually cold yesterday.
wh_question,Who invented the telephone Alexander Graham Bell?
exclamation,How absolutely stunning this view is!
request,Would you consider my proposal for this project?
exclamation,How absolutely glorious this sunrise is!
wh_question,Which metal is the best conductor of electricity?
request,Could I trouble you for some assistance?
wh_question,When was the Eiffel Tower built in Paris?
command,Exceed expectations in your work.
polar_question,Are they coming to the party tonight?
request,Could you open the window please?
request,Would you mind sharing the document with me?
command,Deliver the package to the address.
command,Illustrate the concept with examples.
command,Message your brother when you can.
exclamation,What an impressive display of skill this is!
wh_question,Which fruit contains the most vitamin C?
command,Generate a report on the findings.
request,Could you clarify that point for me?
command,Enable the feature in the settings.
command,Encourage teamwork among colleagues.
request,Could I request your presence at the meeting?
statement,He plays guitar every day for practice.
statement,He has been traveling extensively for work.
command,Launch the campaign next week.
command,Extend the deadline for submissions.
wh_question,What is your favorite color in the rainbow?
exclamation,What a delicious aroma from the kitchen!
statement,The baby is crying in the other room.
command,Pass the salt to your neighbor.
wh_question,Where did you learn to speak so well?
statement,She is reading a book by the window.
exclamation,How cold it is outside today!
command,Turn right at the next intersection.
request,Would you like me to help you with that?
statement,The fish is swimming in the pond.
exclamation,What a lovely dress you are wearing!
command,Write your homework in your notebook.
polar_question,Do you prefer tea or coffee in the morning?
statement,The leaves are falling from the trees.
exclamation,How hot the soup is on the stove!
command,Put the dishes in the sink.
wh_question,What time is the meeting scheduled for?
statement,The clock is ticking on the wall.
command,Drink plenty of water throughout the day.
wh_question,Who is your favorite singer in the world?
exclamation,What a stunning performance by the artist!
statement,The car is parked in the driveway.
command,Take your shoes off at the door.
wh_question,How many languages can you speak fluently?
statement,He is cooking dinner in the kitchen.
exclamation,What a bright moon tonight in the sky!
command,Bring your umbrella when you go out.
wh_question,What is the population of your city?
statement,The birds are singing in the morning.
exclamation,How refreshing this lemonade tastes!
command,Call your mother this weekend.
wh_question,Which season is your favorite of the year?
statement,The ice cream is melting in the sun.
command,Place the order before noon.
wh_question,What kind of music do you enjoy listening to?
statement,The painting hangs above the fireplace.
exclamation,How delicious this homemade bread is!
command,Return the borrowed books to the library.
wh_question,Who taught you how to ride a bicycle?
statement,The phone is ringing in the other room.
command,Light the candle on the birthday cake.
wh_question,What is the capital city of your country?
statement,The dog is barking at the mailman.
exclamation,What an adorable puppy in the window!
command,Share your experience with the group.
wh_question,Where did you go on your last vacation?
statement,The candle is burning on the table.
command,Open the gift carefully.
wh_question,How old are you if you don't mind me asking?
statement,The train is approaching the station.
exclamation,What a gorgeous garden full of flowers!
command,Hold the door open for others.
wh_question,What is your favorite movie of all time?
statement,The milk has gone bad in the refrigerator.
exclamation,How tall this skyscraper is downtown!
command,Water the plants in the backyard.
wh_question,Which day of the week is your busiest?
statement,The letter was delivered this morning.
command,Close the curtains before sleeping.
wh_question,Who is your best friend in the world?
exclamation,What a sweet melody coming from the piano!
statement,The shoes are under the bed.
command,Set the alarm for seven in the morning.
wh_question,What sport do you enjoy playing the most?
statement,The coffee shop opens at six daily.
exclamation,How fragrant these roses smell in the vase!
command,Keep the door locked at night.
wh_question,How far is your workplace from home?
statement,The fire is crackling in the fireplace.
command,Choose a seat in the theater.
wh_question,What is your dream career when you grow up?
statement,The keys are hanging on the hook.
exclamation,How fluffy these clouds look in the sky!
command,Hang the picture on the wall.
wh_question,Which type of cuisine do you prefer eating?
statement,The bus arrives every fifteen minutes.
exclamation,What a magnificent eagle soaring overhead!
command,Print the documents for the meeting.
wh_question,How often do you exercise in a week?
statement,The sun is setting over the horizon.
command,Wrap the present with colorful paper.
wh_question,What would you do with a million dollars?
statement,The cat is sitting on the windowsill.
exclamation,How noisy this construction site is!
command,Leave a message after the beep.
wh_question,Who inspired you to pursue your career?
statement,The book is lying open on the desk.
command,Refill the water bottle before going out.
wh_question,What is the most beautiful place you've visited?
statement,The wind is blowing gently through the trees.
exclamation,What a romantic dinner this evening is!
command,Move the furniture to rearrange the room.
wh_question,Which holiday is your favorite of the year?
statement,The airplane is flying high in the sky.
exclamation,How peaceful this park is in the morning!
command,Take the trash out to the bin.
wh_question,How do you usually spend your weekends?
statement,The soup is simmering on the stove.
command,Place the vase on the mantelpiece.
wh_question,What is the purpose of this meeting today?
statement,The light is shining through the window.
exclamation,What a magnificent view of the mountains!
command,Connect the charger to your phone.
wh_question,Which historical event fascinates you the most?
statement,The flag is waving in the wind.
command,Flip the pancake in the pan.
wh_question,What is your definition of success in life?
statement,The clock chimed midnight in the tower.
exclamation,How crisp this autumn air feels outside!
command,Lock the car doors before leaving.
wh_question,What makes you happy in everyday life?
statement,The balloon is floating toward the ceiling.
exclamation,What a creative art piece this sculpture is!
command,Wind the toy to make it move.
wh_question,Which book has influenced your thinking the most?
statement,The curtain is moving in the breeze.
command,Place the plate in the dishwasher.
wh_question,How would you describe your personality in one word?
statement,The thunder is rumbling in the distance.
exclamation,How sparkling clean this room looks now!
command,Separate the recycling from the trash.
wh_question,What is the best advice you've ever received?
statement,The horse is running in the field.
exclamation,How sparkling this diamond ring looks!
command,Peel the orange before eating it.
wh_question,What tradition does your family have during holidays?
statement,The sunflowers are facing the sun.
command,Dust the shelves in the living room.
wh_question,What skill would you like to learn this year?
statement,The candle flame is flickering in the dark.
exclamation,How shiny this newly washed car looks!
command,Fold the laundry and put it away.
wh_question,What historical figure do you admire the most?
statement,The snow is falling gently outside.
exclamation,How delicate this lace fabric feels!
command,Scoop the ice cream into the bowl.
wh_question,What is your favorite thing about your job?
statement,The waves are crashing on the shore.
command,Place the pillow behind your head.
wh_question,What makes a good friend in your opinion?
statement,The frog is sitting on the lily pad.
exclamation,How green this grass is after the rain!
command,Pour the milk into the cereal bowl.
wh_question,What causes seasons to change on Earth?
statement,The candle wax is dripping onto the plate.
command,Unscrew the lid of the jar.
wh_question,What is the most challenging thing you've done?
statement,The clockwork toy is ticking rhythmically.
exclamation,How vintage this antique furniture looks!
command,Wipe the dust off the television screen.
wh_question,What would you change about the world if you could?
statement,The rainbow is spanning across the sky.
exclamation,How aromatic this coffee smells in the morning!
command,Chop the vegetables for the stew.
wh_question,What is your favorite dessert to end a meal?
statement,The shadow is stretching across the ground.
command,Pour the paint into the palette.
wh_question,What do you value most in a relationship?
statement,The kite is flying high above the trees.
exclamation,How prickly this cactus looks on the desk!
command,Squeeze the lemon for fresh juice.
wh_question,What inspired you to start your own business?
statement,The spider is spinning a web in the corner.
exclamation,How polished this silverware looks now!
command,Stir the mixture clockwise in the pot.
wh_question,What is your philosophy on life and happiness?
statement,The moon is shining through the clouds.
command,Press the button to start the machine.
wh_question,What motivates you to wake up every morning?
statement,The dew is glistening on the leaves.
exclamation,How smooth this stone feels in your hand!
command,Grate the cheese for the pizza topping.
wh_question,What is your proudest accomplishment so far?
statement,The comet is streaking across the night sky.
exclamation,How crystalline this ice looks in the glass!
command,Knead the dough until it rises properly.
wh_question,What do you hope to achieve in the next year?
statement,The fireflies are glowing in the jar.
command,Tighten the screws on the cabinet door.
wh_question,What values do you consider most important?
statement,The smoke is rising from the chimney.
exclamation,How warm this blanket feels on a cold night!
command,Spread the butter on the toast.
wh_question,What would constitute a perfect day for you?
statement,The sailboat is gliding across the lake.
exclamation,How geometric this building architecture is!
command,Flip the burger on the grill.
wh_question,What has been your biggest life lesson?
statement,The icicles are melting from the roof.
command,Whip the cream until it becomes fluffy.
wh_question,What brings you the most joy in life?
statement,The lantern is glowing softly in the tent.
exclamation,How rustic this barn looks in the field!
command,Measure the flour for the recipe.
wh_question,What drives your passion for what you do?
statement,The chameleon is changing colors on the branch.
command,Marinate the chicken for two hours.
wh_question,What legacy do you want to leave behind?
statement,The meteor is burning up in the atmosphere.
exclamation,How iridescent this butterfly wing is!
command,Steam the vegetables until tender.
wh_question,What gives you the most energy and vitality?
statement,The lighthouse is beaming across the bay.
command,Season the steak with salt and pepper.
wh_question,What would make you feel truly fulfilled?
statement,The hummingbird is hovering at the flower.
exclamation,How whimsical this carousel looks in the park!
command,Baste the turkey with pan juices.
wh_question,What purpose do you believe gives life meaning?
statement,The waterfall is cascading down the rocks.
exclamation,How refreshing this mountain stream water is!
command,Let the dough rest before shaping it.
wh_question,What brings balance to your life?
statement,The windmill is turning slowly in the breeze.
exclamation,How vintage this record player looks in the corner!
command,Rest the meat before carving it.
wh_question,What fills your heart with gratitude?
statement,The greenhouse is filled with exotic plants.
exclamation,How glossy this freshly waxed floor is!
command,Braise the beef until it is fork-tender.
wh_question,What do you appreciate most about your friends?
statement,The owl is hooting in the forest at night.
exclamation,How pristine this snow looks on the mountaintop!
command,Deglaze the pan with white wine.
wh_question,What nurtures your soul and spirit?
statement,The train whistle is echoing through the valley.
exclamation,How weathered this old ship looks at sea!
command,Simmer the sauce on low heat.
