label	question	lang
DESC:desc	What is mausoleum?	en
NUM:count	What is the population of Japan?	en
HUM:desc	Whats the nickname of oddsmaker Jimmy Snyder	en
ENTY:event	What was the tragedy that struck the city of Dogtown in 1899	en
NUM:volsize	What is the size of the internet?	en
LOC:other	Where does pizza come from?	en
NUM:weight	What is the weight of a grand piano?	en
NUM:speed	What is the speed of a typical bullet train?	en
ENTY:other	What connects to the Yangtze River?	en
NUM:money	What is the cost of a movie ticket?	en
DESC:def	What is infrastructure as code?	en
ENTY:product	What is the recipe or formula for Coca-Cola	en
DESC:reason	Why is eclipses happen?	en
NUM:dist	How far is Earth and Moon?	en
ENTY:substance	What chemicals are used in lethal injection	en
LOC:country	What country in Latin America is the largest one	en
DESC:manner	How are states delineated?	en
NUM:code	What is the hexadecimal code for symbol @?	en
ENTY:animal	What kind of dog is Scooby Doo	en
ENTY:product	What computer operating system is on the most computers	en
ENTY:plant	What is a lettuce?	en
ENTY:word	What is an antonym for good?	en
DESC:def	What is propylene glycol	en
ENTY:desc	How is the - symbol used?	en
HUM:desc	What cigar-chewing comedian observed You re only as old as the woman you feel	en
NUM:count	About how many Americans are still unaccounted for from the Vietnam war	en
DESC:desc	What is a Gen X?	en
ENTY:animal	What was Paul Bunyans oxs name	en
ENTY:body	What is the integumentary system?	en
DESC:reason	What causes defaults?	en
LOC:desc	What connects to the Great Salt Lake?	en
DESC:def	What is fibromyalgia	en
DESC:reason	What is the reason we need sleep?	en
NUM:perc	What percentage of the population is vegan?	en
NUM:count	How many male reproductive organs?	en
ENTY:body	What is the immune system?	en
NUM:perc	What percentage of the human genome is unique to each person?	en
DESC:desc	What are nerve endings?	en
ABBR:abb	What does A11y mean?	en
DESC:manner	How do animals use regeneration?	en
LOC:country	What country is Kosovo a part of	en
LOC:landmass	Name all the continents	en
DESC:def	How does cohesion function?	en
ABBR:exp	Expand the acronym EPA	en
ENTY:word	What is the plural of criterion?	en
NUM:count	How many Agnostics are there?	en
DESC:def	What is Batesian mimicry?	en
NUM:count	How many people speak German?	en
ENTY:city	What is the capital of Kentucky?	en
ENTY:veh	What is a rental car?	en
ENTY:word	What is the plural of gulf	en
LOC:mount	How high is Mount McKinley?	en
DESC:desc	What is meant by WiFi?	en
LOC:other	What connects to the Caribbean Sea?	en
DESC:desc	How are colors represented in light?	en
NUM:period	What is the average lifespan of a goldfish?	en
LOC:landmass	Where is Greenland?	en
DESC:desc	What is a caisson?	en
LOC:other	Where does cake come from?	en
DESC:def	How is a sentence structured?	en
HUM:ind	What was Michelangelos last name	en
DESC:desc	Tell me about Argentina	en
DESC:def	What is a canal?	en
DESC:desc	What is the function of the epidermis?	en
LOC:other	Where does pie come from?	en
HUM:ind	Who is the father of the computer	en
LOC:city	Where is New York?	en
ENTY:symbol	What is the at sign symbol?	en
DESC:desc	What is a peasants?	en
DESC:desc	What is a bed made of?	en
DESC:description	How do paint colors compare?	en
ABBR:exp	NATO expands to North Atlantic Treaty Organization?	en
ENTY:religion	What is Zoroastrianism?	en
ENTY:other	What are Britains two longest rivers	en
DESC:def	What is the meaning of API?	en
LOC:mount	Where are the Andes Mountains?	en
ABBR:abb	What is the correct way to abbreviate cc. at the bottom of a business letter	en
DESC:def	What does momentary mean?	en
DESC:reason	What causes bad breath?	en
HUM:desc	What does a dancer do?	en
NUM:count	How many safety features does a modern car have?	en
NUM:temp	What is the temperature of the sun?	en
DESC:desc	What is the purpose of cemetery?	en
NUM:code	What is the ASCII code for space character?	en
DESC:desc	How are landscapes depicted in art?	en
ENTY:other	What cards are bullets	en
NUM:dist	How far is New York from Tokyo?	en
ENTY:dismed	What is a fear of fur	en
DESC:reason	How is carbon essential?	en
NUM:ord	What is the chronological position of Barack Obama as the President of United States	en
ABBR:abb	What does IR stand for?	en
DESC:manner	At Christmas time, what is the traditional thing to do under the mistletoe	en
DESC:desc	What does WAN extend?	en
DESC:desc	What is an engineer?	en
ENTY:symbol	What is the chemical symbol for helium?	en
ENTY:instru	What instrument measures blood pressure?	en
ENTY:body	What is the weakest bone in the body	en
NUM:perc	What percentage of the worlds wealth is held by the top 1 percent?	en
ABBR:abb	What is the shorthand for Gigabyte?	en
DESC:description	What is Cairo?	en
LOC:other	Where does wine come from?	en
DESC:desc	What is the cost of living?	en
DESC:event	What happened during the Oscars?	en
DESC:manner	In what manner do settlers establish?	en
DESC:manner	How do they get Teflon to stick to the pan	en
LOC:mount	How high is Mount Fuji?	en
NUM:temp	What is the melting point of uranium?	en
DESC:reason	What causes leaves to turn green?	en
NUM:temp	At what temperature does asphalt soften?	en
ENTY:animal	What kinds of animals are in Cambodia	en
HUM:desc	What rank is Admiral?	en
DESC:manner	How is a consortium organized?	en
HUM:desc	What is a engineer?	en
HUM:title	Who holds the title of Provost?	en
LOC:mount	What mountain range is traversed by the highest railroad in the world	en
LOC:country	Tell me about Egypt	en
LOC:other	How far is Tokyo and Beijing?	en
DESC:def	How does holonym function?	en
NUM:weight	How much does an unknown item weigh?	en
ENTY:religion	name all the religions practiced around the Mediterranean sea	en
NUM:count	How many countries?	en
DESC:desc	How is blue different from purple?	en
ENTY:color	What color is a bluebell?	en
NUM:temp	How hot should the oven be when baking Peachy Oat Muffins	en
DESC:manner	How is kimchi made?	en
ENTY:word	What is a homophone?	en
DESC:def	What defines a council?	en
LOC:other	Where is Tufts University	en
ENTY:other	Where can I find the names of all the 15 Pokemon	en
DESC:reason	Why do muscles ache?	en
NUM:dist	How tall is the Eiffel Tower?	en
NUM:ord	Which is your precise position in the order of seniority	en
DESC:manner	How do you learn a language?	en
LOC:city	Tell me what city the Kentucky Horse Park is near	en
ABBR:exp	What is IOC an abbreviation of	en
NUM:count	How many muscles does an oyster have	en
NUM:other	What is the average time it takes for a male to ejaculate	en
DESC:reason	What causes peace?	en
NUM:volsize	What is the volume of the Great Lakes?	en
NUM:dist	How far can you see	en
ABBR:abb	TLS abbreviates what?	en
NUM:code	What is the octal code for delete?	en
DESC:desc	How does analogous design work?	en
DESC:manner	How do musicians play?	en
LOC:other	Where does hot dog come from?	en
ABBR:abb	Explain the acronym HDMI	en
